pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
2960,665742,"Soto, Juan",2960,100,0.289,0.282,0.298,0.57,0.421,0.463,0.317,166,575,93.5,10.1,2242,88.9,89.13,237,1101,1859,0.2,6.46,116,146,122,151,296,329,300,-72.449,72.449,72.9,7.2,710,461,90,31,4,41,118,16.6,127,17.9,2.40744,0.51921,0.3688,-0.2046,94.3,159,56.95652174,19.7826087,12.81690141,5.76,-0.65,-0.16,2.15,0.418,91,2.447601351,0.444,0.647,-2.447601351,-0.028,-0.026,-0.077,-0.042,21.5,37.8,11.47462306,3.962531882,27.1017475,0.59077527,39.33116971,25.04992246
2947,621566,"Olson, Matt",2947,100,0.247,0.21,0.293,0.457,0.339,0.34,0.247,148,600,91.5,16.1,2245,89.7,90.16,385,1465,1482,0.5,6.51,115,146,129,152,303,329,304,-17.519,17.519,72.3,7.3,679,435,81,37,1,29,170,25,65,9.6,2.23472,0.6436,0.3476,-0.15033,92.3,176,47.57505774,12.47113164,7.95287187,5.82,-0.85,-0.12,2.48,0.327,54,0.594468951,0.33,0.448,-0.594468951,0,-0.003,0.009,-0.001,26.3,37.8,7.610760709,-0.706547806,34.11828719,0.419970631,37.55207692,32.81547236
2896,683002,"Henderson, Gunnar",2896,100,0.281,0.248,0.32,0.529,0.381,0.373,0.283,177,630,92.8,9.2,2225,89.4,89.63,312,1281,1615,0.2,6.45,118,147,125,152,298,328,304,-32.822,32.822,74.7,7.2,716,475,102,31,7,37,159,22.2,75,10.5,2.29492,0.59938,0.41684,-0.19259,93.1,156,53.89473684,11.15789474,7.402234637,5.73,-0.62,-0.22,2.34,0.362,53,1.133356354,0.366,0.492,-1.133356354,-0.002,-0.004,0.037,0.008,24.4,37.8,7.693293594,4.215382981,30.48750167,0.454767726,35.24805218,31.89964337
2885,592450,"Judge, Aaron",2885,100,0.322,0.379,0.367,0.701,0.476,0.479,0.31,180,559,96.2,19,2278,89.4,89.61,372,1213,1672,0.2,6.51,106,151,124,145,307,332,294,-97.096,97.096,75.7,8.1,684,390,85,36,1,58,171,25,113,16.5,2.33468,0.56683,0.27492,-0.01048,94.4,189,61.18251928,26.99228792,15.35087719,5.77,-0.86,0.22,2.34,0.442,105,3.365545927,0.433,0.723,-3.365545927,0.012,0.009,-0.022,-0.003,30.7,38.5,13.80069193,-3.749367366,39.7342431,0.494584838,42.60738146,29.37594437
2875,542303,"Ozuna, Marcell",2875,100,0.302,0.244,0.359,0.546,0.395,0.402,0.286,183,606,92.1,14.5,2264,89.2,89.61,422,1345,1530,0.4,6.54,108,151,124,147,309,329,298,-46.117,46.117,72.3,7.3,686,440,113,31,0,39,170,24.8,72,10.5,2.37174,0.53892,0.29789,0.0463,92.9,173,53.53075171,15.48974943,9.912536443,5.8,-0.87,0.3,2.26,0.377,68,1.604069565,0.366,0.572,-1.604069565,0.016,0.011,-0.026,-0.007,31.4,38.3,14.3782323,-1.147683582,36.60243953,0.506849315,36.52286104,31.57015803
2853,670623,"Paredes, Isaac",2853,100,0.238,0.155,0.259,0.393,0.327,0.304,0.22,129,542,85,22.4,2295,88.8,88.94,220,1276,1577,0.1,6.42,109,151,122,146,298,325,295,-14.394,14.394,66.6,7.9,639,443,84,25,1,19,105,16.4,74,11.6,2.40249,0.54057,0.24324,0.06694,91.3,163,27.08803612,4.514672686,3.129890454,5.75,-0.97,0.37,2.25,0.344,20,0.504521556,0.331,0.337,-0.504521556,0.018,0.013,0.056,0.023,17.2,38.3,13.43774615,-15.04204409,32.23685303,0.516835017,35.44324465,37.3035354
2852,656941,"Schwarber, Kyle",2852,100,0.248,0.237,0.301,0.485,0.366,0.38,0.256,142,573,93.6,15,2228,88.8,89.1,365,1139,1713,0.3,6.45,120,146,127,152,296,326,298,-30.669,30.669,75,7.6,688,384,82,22,0,38,197,28.6,102,14.8,2.35435,0.58473,0.33307,-0.09331,94.3,157,55.46875,15.625,8.720930233,5.84,-0.51,-0.21,2.2,0.362,60,1.075350631,0.37,0.512,-1.075350631,-0.008,-0.008,-0.027,-0.014,32,37.9,12.91683324,-2.777070465,29.19667215,0.663207547,36.29954995,30.49073543
2844,680776,"Duran, Jarren",2844,100,0.285,0.207,0.345,0.492,0.357,0.338,0.271,191,671,90.2,9.1,2265,89.5,89.76,340,1373,1471,0.3,6.45,116,146,107,151,282,320,307,-33.473,33.473,71.8,7.5,734,515,108,48,14,21,160,21.8,53,7.2,2.25743,0.63511,0.35958,-0.15863,92.2,159,43.88349515,9.32038835,6.539509537,5.72,-0.66,-0.11,2.38,0.341,48,1.176969058,0.329,0.448,-1.176969058,0.014,0.012,0.044,0.019,24.8,38.1,3.176289927,4.160979121,29.1925529,0.345266508,39.22400678,26.62117912
2838,660271,"Ohtani, Shohei",2838,100,0.31,0.336,0.336,0.646,0.431,0.442,0.314,197,636,95.7,16,2233,89.4,89.68,400,1343,1495,0.3,6.41,117,146,130,152,301,326,307,-71.195,71.195,74.7,7.7,721,479,98,38,7,54,162,22.5,71,9.8,2.34087,0.54775,0.34484,-0.16328,94.5,173,60.25104603,21.54811715,14.28571429,5.76,-0.57,-0.13,2.35,0.382,103,2.50863284,0.388,0.66,-2.50863284,-0.004,-0.006,-0.014,-0.011,29.8,38,10.78033579,-0.93352786,34.86911573,0.499598394,38.13097246,26.27587857
2821,650402,"Torres, Gleyber",2821,100,0.257,0.121,0.306,0.378,0.313,0.307,0.24,151,587,88.2,14.8,2273,88.8,89.12,296,1290,1531,0.3,6.52,109,151,121,147,303,323,287,0.21,-0.21,68.4,7.2,665,461,110,26,0,15,136,20.5,65,9.8,2.35294,0.59136,0.26658,-0.01683,91.1,175,35.51198257,6.318082789,4.360902256,5.75,-0.85,0.25,2.29,0.33,29,-0.007444169,0.317,0.368,0.007444169,0.017,0.013,0.01,0.006,22.9,38.6,7.607850111,6.306424621,34.53832748,0.506265664,36.37772804,29.96419753
2797,683011,"Volpe, Anthony",2797,100,0.243,0.121,0.303,0.364,0.287,0.278,0.238,155,637,87,8.1,2276,88.9,89.18,304,1345,1452,0.3,6.49,106,151,111,146,301,322,286,15.724,-15.724,66.8,7,688,486,109,27,7,12,156,22.7,41,6,2.35759,0.58196,0.26768,0.04452,90.9,154,35.6846473,3.941908714,2.761627907,5.75,-0.81,0.09,2.31,0.292,19,-0.562173758,0.289,0.332,0.562173758,0.005,0.003,0.032,0.009,22.6,38.5,9.032849109,7.957454553,33.03860138,0.582870738,37.13725498,26.07317252
2780,624413,"Alonso, Pete",2780,100,0.241,0.219,0.276,0.46,0.34,0.343,0.243,146,607,89.8,14.4,2269,89.7,89.97,295,1192,1588,0.3,6.5,108,151,124,147,304,326,296,-16.77,16.77,73.3,7.3,690,440,81,31,0,34,171,24.8,66,9.6,2.28967,0.60796,0.36678,0.06469,92.8,160,46.46924829,13.2118451,8.405797101,5.76,-0.77,0.15,2.28,0.326,58,0.60323741,0.329,0.462,-0.60323741,-0.002,-0.003,-0.002,-0.003,24.7,38.1,9.212570065,-1.381185011,31.46580702,0.537205082,38.46621166,29.46564762
2774,668227,"Arozarena, Randy",2774,100,0.219,0.169,0.275,0.388,0.32,0.321,0.216,120,549,90.4,13.2,2284,89.4,89.51,337,1136,1638,0.1,6.42,107,151,120,147,301,326,294,-14.134,14.134,70.3,7.3,648,384,67,33,0,20,169,26.1,73,11.3,2.30595,0.59633,0.32731,0.06195,92.1,151,43.60313316,8.355091384,4.938271605,5.69,-0.82,0.28,2.23,0.332,32,0.509516943,0.332,0.377,-0.509516943,0.003,0,0.011,-0.001,29.7,37.7,8.764574581,0.149654162,24.73370518,0.672574627,35.05367607,31.49362358
2752,630105,"Cronenworth, Jake",2752,100,0.241,0.149,0.274,0.39,0.315,0.335,0.259,139,577,88.3,13.5,2249,90.1,90.37,212,1238,1514,0.3,6.5,115,147,115,151,287,320,304,-6.261,6.261,67.1,6.9,656,463,90,29,3,17,118,18,61,9.3,2.20088,0.6601,0.41473,-0.21566,91.4,161,37.03703704,7.843137255,5.487804878,5.72,-0.81,-0.19,2.46,0.324,36,0.227507267,0.341,0.42,-0.227507267,-0.018,-0.017,-0.03,-0.02,17.1,37.1,4.761277942,2.75544425,33.25323611,0.339875112,34.2659121,28.01476753
2751,682829,"De La Cruz, Elly",2751,100,0.259,0.212,0.359,0.471,0.349,0.328,0.24,160,618,90.9,9.5,2230,88.6,88.91,398,1193,1558,0.3,6.44,114,147,114,150,297,325,299,-20.035,20.035,72.7,7.2,694,403,89,36,10,25,218,31.4,67,9.7,2.41024,0.53691,0.30132,-0.30132,92.7,151,45.77114428,12.68656716,7.34870317,5.82,-0.63,-0.01,2.41,0.337,51,0.728280625,0.32,0.428,-0.728280625,0.019,0.017,0.043,0.021,33.4,38.7,8.5794894,1.024905137,35.25696085,0.504986401,38.00385453,35.37528248
2747,607043,"Nimmo, Brandon",2747,100,0.225,0.175,0.267,0.4,0.321,0.335,0.245,128,570,91.9,11.2,2254,89.9,90.15,288,1232,1515,0.3,6.51,116,146,112,150,291,323,303,-8.061,8.061,71.5,7.2,661,416,77,25,3,23,157,23.8,76,11.5,2.2406,0.64011,0.38346,-0.14827,92,164,47.46987952,9.156626506,5.748865356,5.76,-0.88,-0.04,2.39,0.327,38,0.293447397,0.346,0.409,-0.293447397,-0.02,-0.019,-0.009,-0.014,23.4,38.3,5.77974296,1.083333836,29.08951794,0.476149176,39.93241726,27.409139
2739,595777,"Profar, Jurickson",2739,100,0.28,0.179,0.302,0.459,0.365,0.364,0.282,158,564,90.1,12.5,2218,89.3,89.57,213,1250,1489,0.3,6.51,114,147,115,150,294,321,297,-25.109,25.109,69.4,7.2,664,473,105,29,0,24,101,15.2,72,10.8,2.32563,0.58432,0.39109,-0.39109,92.3,159,44.397463,7.188160677,5.120481928,5.75,-0.88,-0.09,2.36,0.376,34,0.916721431,0.38,0.444,-0.916721431,-0.002,-0.004,0.015,0.001,17,37.7,7.11871754,-1.456725584,32.84434941,0.466055046,36.22128345,30.06602693
2738,623993,"Santander, Anthony",2738,100,0.235,0.271,0.225,0.506,0.345,0.324,0.228,140,595,89.8,22.8,2249,89.7,89.91,272,1362,1376,0.2,6.44,115,148,126,150,300,327,298,-29.22,29.22,71.8,7.1,662,471,69,25,2,44,129,19.5,55,8.3,2.22322,0.65164,0.37402,-0.37402,91.9,172,41.70212766,11.70212766,8.3081571,5.75,-0.84,-0.05,2.45,0.305,55,1.067202337,0.301,0.445,-1.067202337,0.007,0.004,0.061,0.021,20,38.5,6.883855783,-5.031848061,26.32359298,0.478060046,34.77971433,32.36049736
